Tag ID,Timestamp,User ID
e6.y3.NXP0006~.,6/9/2025 14:56,13989359
e6.y3.NXP0006~.,6/9/2025 14:56,123456789
e6.y3.NXP0006~.,6/9/2025 15:01,12345676
e6.y3.NXP0006~.,6/9/2025 15:01,23456789
e6.y3.NXP0006~.,6/9/2025 15:02,13989359
e6.y3.NXP0006~.,6/9/2025 15:04,2345654321
e6.y3.NXP0006~.,6/9/2025 15:05,1234567890
e6.y3.NXP0006~.,2025-06-09 15:16:06,12345678
e6.y3.NXP0006~.,2025-06-09 15:16:30,23456778
e6.y3.NXP0006~.,2025-06-09 15:23:13,12345
e6.y3.NXP0006~.,2025-06-09 15:23:41,12345678765
e6.y3.NXP0006~.,2025-06-09 15:53:22,13989359
e6.y3.NXP0006~.,2025-06-09 15:53:33,13989359
e6.y3.NXP0006~.,2025-06-09 15:55:21,1234567891
e6.y3.NXP0006~.,2025-06-09 15:59:50,191911
.....l...0006~.,2025-06-09 16:01:51,139284953
e6.y3.NXP0006~.,2025-06-09 16:02:32,19861986
 ..............,2025-06-09 16:03:37,13989359
e6.y3.NXP0006~.,2025-06-09 16:04:26,13939359
e6.y3.NXP0006~.,2025-06-09 16:47:43,12345
e6.y3.NXP0006~.,2025-06-09 16:54:22,20251986
e6.y3.NXP0006~.,2025-06-10 08:46:16,ว่าน
e6.y3.NXP0006~.,2025-06-10 14:03:30,543212345
e6.y3.NXP0006~.,2025-06-10 14:06:44,876545678
e6.y3.NXP0006~.,2025-06-10 14:17:28,20251986789
